gene	transcript_biotype	SVTYPE	SVLEN	category	sv	cell_line	sample	location
SYNDIG1	protein_coding	INVt2t	5744330	Inversion	INVt2t:chr20:24399094-30143424	HEK293T	F3R_c5t8	Within variant
CST7	protein_coding	INVt2t	5744330	Inversion	INVt2t:chr20:24399094-30143424	HEK293T	F3R_c5t8	Within variant
APMAP	protein_coding	INVt2t	5744330	Inversion	INVt2t:chr20:24399094-30143424	HEK293T	F3R_c5t8	Within variant
FAM182A	lncRNA	INVt2t	5744330	Inversion	INVt2t:chr20:24399094-30143424	HEK293T	F3R_c5t8	Within variant
MIR663AHG	lncRNA	INVt2t	5744330	Inversion	INVt2t:chr20:24399094-30143424	HEK293T	F3R_c5t8	Within variant
FAM242B	lncRNA	INVt2t	5744330	Inversion	INVt2t:chr20:24399094-30143424	HEK293T	F3R_c5t8	Within variant
LINC02967	lncRNA	INVt2t	5744330	Inversion	INVt2t:chr20:24399094-30143424	HEK293T	F3R_c5t8	Within variant
LINC01733	lncRNA	INVt2t	5744330	Inversion	INVt2t:chr20:24399094-30143424	HEK293T	F3R_c5t8	Within variant
ENTPD6	protein_coding	INVt2t	5744330	Inversion	INVt2t:chr20:24399094-30143424	HEK293T	F3R_c5t8	Within variant
ACSS1	protein_coding	INVt2t	5744330	Inversion	INVt2t:chr20:24399094-30143424	HEK293T	F3R_c5t8	Within variant
RNU6-1257P	snRNA	INVt2t	5744330	Inversion	INVt2t:chr20:24399094-30143424	HEK293T	F3R_c5t8	Within variant
RNA5SP532	rRNA	INVt2t	5744330	Inversion	INVt2t:chr20:24399094-30143424	HEK293T	F3R_c5t8	Within variant
MIR663A	miRNA	INVt2t	5744330	Inversion	INVt2t:chr20:24399094-30143424	HEK293T	F3R_c5t8	Within variant
VSX1	protein_coding	INVt2t	5744330	Inversion	INVt2t:chr20:24399094-30143424	HEK293T	F3R_c5t8	Within variant
FAM236B	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
FAM236B	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
ARMC3	protein_coding	DEL	1720824	Deletion	DEL:chr10:22126500-23847324	HAP1	C516R_c8	Within variant
PHKA1-AS1	lncRNA	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
PHKA1-AS1	lncRNA	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
PIP4K2A	protein_coding	DEL	1720824	Deletion	DEL:chr10:22126500-23847324	HAP1	C516R_c8	Within variant
LINC00269	lncRNA	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
LINC00269	lncRNA	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
C10orf67	protein_coding	DEL	1720824	Deletion	DEL:chr10:22126500-23847324	HAP1	C516R_c8	Within variant
CYSLTR1	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
CYSLTR1	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
CYSLTR1	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
CYSLTR1	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
PEX2	protein_coding	INVh2h	1835034	Inversion	INVh2h:chr8:76108907-77943941	HAP1	C516R_G1_D21	Within variant
PEX2	protein_coding	INVt2t	1835017	Inversion	INVt2t:chr8:76108907-77943924	HAP1	C516R_G1_D21	Within variant
ZFHX4	protein_coding	INVh2h	1835034	Inversion	INVh2h:chr8:76108907-77943941	HAP1	C516R_G1_D21	Within variant
ZFHX4	protein_coding	INVt2t	1835017	Inversion	INVt2t:chr8:76108907-77943924	HAP1	C516R_G1_D21	Within variant
SLC16A2	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
SLC16A2	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
FGF16	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
FGF16	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
FGF16	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
FGF16	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
FGF16	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
FGF16	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
CPXCR1	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
CPXCR1	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
CPXCR1	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
CPXCR1	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
HDAC8	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
HDAC8	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
MSRB2	protein_coding	DEL	1720824	Deletion	DEL:chr10:22126500-23847324	HAP1	C516R_c8	Within variant
PTF1A	protein_coding	DEL	1720824	Deletion	DEL:chr10:22126500-23847324	HAP1	C516R_c8	Within variant
LINC01109	lncRNA	INVh2h	1835034	Inversion	INVh2h:chr8:76108907-77943941	HAP1	C516R_G1_D21	Within variant
LINC01109	lncRNA	INVt2t	1835017	Inversion	INVt2t:chr8:76108907-77943924	HAP1	C516R_G1_D21	Within variant
UPRT	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
UPRT	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
UPRT	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
UPRT	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
UPRT	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
UPRT	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
HDX	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
HDX	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
HDX	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
HDX	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
PABPC5	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
PABPC5	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
PABPC5	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
PABPC5	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
PABPC1L2A	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
PABPC1L2A	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
ARL13A	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
ARL13A	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
ARL13A	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
ARL13A	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
BRWD3	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
BRWD3	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
BRWD3	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
BRWD3	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
EDA	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
EDA	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
CHM	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
CHM	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
CHM	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
CHM	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
POF1B	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
POF1B	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
POF1B	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
POF1B	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
KLHL4	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
KLHL4	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
KLHL4	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
KLHL4	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
IGBP1-AS2	lncRNA	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
IGBP1-AS2	lncRNA	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
MAGEE1	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
MAGEE1	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
MAGEE1	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
MAGEE1	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
MAGEE1	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
MAGEE1	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
PBDC1	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
PBDC1	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
PBDC1	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
PBDC1	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
PBDC1	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
PBDC1	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
DIAPH2-AS1	lncRNA	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
DIAPH2-AS1	lncRNA	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
DIAPH2-AS1	lncRNA	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
DIAPH2-AS1	lncRNA	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
RTL3	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
RTL3	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
RTL3	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
RTL3	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
TBX22	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
TBX22	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
TBX22	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
TBX22	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
TGIF2LX	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
TGIF2LX	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
TGIF2LX	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
TGIF2LX	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
SH3BGRL	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
SH3BGRL	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
SH3BGRL	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
SH3BGRL	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
TRMT2B	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
TRMT2B	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
TRMT2B	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
TRMT2B	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
SPAG6	protein_coding	DEL	1720824	Deletion	DEL:chr10:22126500-23847324	HAP1	C516R_c8	Within variant
TEX13B	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
TEX13B	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
MAGEE2	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
MAGEE2	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
MAGEE2	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
MAGEE2	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
MAGEE2	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
MAGEE2	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
